iter	Passed	Remaining
0	19	4738
1	36	4457
2	53	4294
3	70	4264
4	87	4203
5	105	4221
6	123	4199
7	141	4194
8	159	4178
9	178	4186
10	195	4160
11	215	4183
12	234	4179
13	253	4175
14	272	4174
15	292	4183
16	310	4159
17	326	4111
18	343	4084
19	360	4052
20	376	4013
21	393	3989
22	409	3954
23	426	3929
24	441	3883
25	457	3851
26	472	3818
27	488	3782
28	503	3753
29	520	3729
30	535	3696
31	551	3673
32	568	3650
33	584	3626
34	600	3600
35	617	3582
36	634	3566
37	651	3551
38	669	3537
39	687	3522
40	705	3510
41	724	3500
42	744	3498
43	763	3486
44	780	3470
45	800	3463
46	819	3451
47	839	3445
48	858	3433
49	877	3420
50	895	3406
51	916	3400
52	932	3377
53	949	3357
54	965	3334
55	981	3313
56	999	3296
57	1017	3280
58	1033	3259
59	1053	3247
60	1072	3233
61	1111	3279
62	1138	3289
63	1159	3280
64	1177	3259
65	1194	3240
66	1212	3220
67	1228	3197
68	1244	3174
69	1261	3153
70	1279	3136
71	1296	3116
72	1313	3095
73	1329	3073
74	1345	3050
75	1363	3032
76	1380	3012
77	1397	2992
78	1414	2973
79	1431	2953
80	1447	2930
81	1467	2917
82	1485	2898
83	1503	2880
84	1521	2863
85	1537	2842
86	1554	2823
87	1572	2805
88	1590	2787
89	1607	2768
90	1623	2747
91	1640	2727
92	1656	2707
93	1674	2689
94	1691	2671
95	1710	2654
96	1726	2633
97	1746	2619
98	1762	2599
99	1779	2580
100	1796	2560
101	1812	2540
102	1828	2520
103	1844	2500
104	1860	2480
105	1875	2459
106	1890	2438
107	1905	2417
108	1921	2397
109	1936	2377
110	1952	2357
111	1968	2337
112	1985	2319
113	2003	2302
114	2021	2284
115	2038	2267
116	2055	2249
117	2074	2233
118	2092	2215
119	2112	2200
120	2131	2184
121	2149	2167
122	2167	2150
123	2185	2132
124	2204	2115
125	2225	2101
126	2243	2084
127	2260	2066
128	2278	2048
129	2296	2031
130	2314	2014
131	2331	1995
132	2347	1976
133	2364	1958
134	2381	1940
135	2397	1921
136	2415	1904
137	2432	1886
138	2450	1868
139	2468	1851
140	2485	1833
141	2503	1815
142	2521	1798
143	2538	1780
144	2555	1762
145	2573	1744
146	2591	1727
147	2609	1710
148	2626	1692
149	2642	1673
150	2658	1655
151	2676	1637
152	2697	1622
153	2724	1609
154	2744	1593
155	2763	1576
156	2784	1560
157	2806	1545
158	2829	1530
159	2851	1515
160	2872	1498
161	2892	1481
162	2911	1464
163	2932	1448
164	2952	1431
165	2971	1414
166	2990	1396
167	3010	1379
168	3027	1361
169	3046	1344
170	3063	1325
171	3079	1307
172	3098	1289
173	3119	1273
174	3138	1255
175	3155	1237
176	3172	1218
177	3189	1200
178	3207	1182
179	3228	1165
180	3245	1147
181	3263	1129
182	3281	1111
183	3299	1093
184	3317	1076
185	3334	1057
186	3351	1039
187	3368	1021
188	3387	1003
189	3409	986
190	3432	970
191	3458	954
192	3480	937
193	3505	921
194	3533	905
195	3556	889
196	3579	872
197	3598	854
198	3621	837
199	3644	819
200	3666	802
201	3687	784
202	3707	767
203	3725	748
204	3744	730
205	3763	712
206	3785	694
207	3804	676
208	3828	659
209	3849	641
210	3870	623
211	3889	605
212	3910	587
213	3928	569
214	3945	550
215	3961	531
216	3978	513
217	3995	494
218	4014	476
219	4032	458
220	4049	439
221	4068	421
222	4087	403
223	4106	384
224	4130	367
225	4148	348
226	4165	330
227	4183	311
228	4201	293
229	4219	275
230	4236	256
231	4253	238
232	4271	219
233	4288	201
234	4308	183
235	4326	164
236	4342	146
237	4361	128
238	4382	110
239	4399	91
240	4416	73
241	4435	54
242	4454	36
243	4472	18
244	4489	0
