iter	Passed	Remaining
0	21	5257
1	40	4912
2	58	4738
3	77	4644
4	94	4545
5	110	4391
6	126	4289
7	143	4247
8	160	4215
9	177	4177
10	194	4147
11	211	4099
12	227	4052
13	243	4019
14	260	3999
15	280	4011
16	296	3975
17	312	3942
18	330	3929
19	347	3910
20	364	3885
21	382	3880
22	417	4026
23	452	4168
24	477	4199
25	496	4178
26	511	4128
27	526	4081
28	542	4038
29	560	4018
30	578	3992
31	594	3957
32	610	3922
33	629	3904
34	653	3921
35	687	3989
36	709	3990
37	735	4006
38	770	4068
39	791	4058
40	820	4082
41	847	4097
42	869	4084
43	890	4069
44	907	4032
45	926	4009
46	943	3973
47	960	3942
48	984	3939
49	1010	3941
50	1032	3928
51	1054	3912
52	1075	3895
53	1095	3874
54	1115	3853
55	1136	3835
56	1153	3803
57	1172	3779
58	1192	3758
59	1209	3730
60	1227	3702
61	1242	3667
62	1258	3635
63	1274	3604
64	1291	3575
65	1307	3546
66	1325	3521
67	1339	3487
68	1354	3456
69	1370	3427
70	1386	3398
71	1402	3370
72	1419	3345
73	1435	3316
74	1450	3288
75	1465	3259
76	1481	3231
77	1495	3202
78	1511	3175
79	1525	3146
80	1542	3122
81	1556	3094
82	1573	3071
83	1591	3050
84	1606	3024
85	1621	2998
86	1636	2972
87	1653	2949
88	1680	2945
89	1711	2947
90	1734	2935
91	1765	2935
92	1790	2926
93	1812	2911
94	1829	2889
95	1847	2867
96	1865	2845
97	1882	2824
98	1898	2799
99	1914	2776
100	1932	2755
101	1957	2744
102	1985	2736
103	2009	2724
104	2031	2709
105	2055	2695
106	2076	2678
107	2097	2660
108	2117	2642
109	2136	2622
110	2151	2597
111	2167	2574
112	2184	2551
113	2200	2529
114	2217	2506
115	2233	2483
116	2248	2460
117	2264	2437
118	2280	2414
119	2296	2392
120	2311	2368
121	2328	2347
122	2343	2324
123	2362	2305
124	2378	2283
125	2394	2261
126	2409	2239
127	2426	2217
128	2442	2196
129	2459	2175
130	2474	2153
131	2489	2131
132	2506	2110
133	2520	2088
134	2535	2065
135	2548	2042
136	2563	2020
137	2576	1998
138	2592	1976
139	2608	1956
140	2623	1935
141	2640	1915
142	2656	1894
143	2671	1873
144	2687	1853
145	2702	1832
146	2721	1814
147	2737	1794
148	2754	1774
149	2770	1754
150	2785	1734
151	2800	1713
152	2815	1693
153	2829	1671
154	2842	1650
155	2857	1630
156	2872	1609
157	2887	1589
158	2902	1569
159	2918	1550
160	2933	1530
161	2948	1510
162	2962	1490
163	2976	1470
164	3009	1459
165	3038	1445
166	3068	1433
167	3087	1415
168	3103	1395
169	3119	1376
170	3135	1357
171	3151	1337
172	3168	1318
173	3185	1300
174	3201	1280
175	3218	1261
176	3233	1242
177	3249	1223
178	3266	1204
179	3284	1186
180	3301	1167
181	3318	1148
182	3334	1129
183	3350	1110
184	3366	1091
185	3383	1073
186	3401	1054
187	3417	1036
188	3434	1017
189	3450	998
190	3465	979
191	3484	961
192	3500	943
193	3516	924
194	3533	906
195	3551	887
196	3567	869
197	3583	850
198	3599	832
199	3615	813
200	3631	794
201	3647	776
202	3663	757
203	3679	739
204	3694	720
205	3709	702
206	3725	683
207	3741	665
208	3756	647
209	3773	628
210	3789	610
211	3804	592
212	3818	573
213	3832	555
214	3848	537
215	3864	518
216	3884	501
217	3901	483
218	3919	465
219	3934	447
220	3950	428
221	3964	410
222	3979	392
223	3994	374
224	4012	356
225	4027	338
226	4043	320
227	4059	302
228	4076	284
229	4094	267
230	4112	249
231	4133	231
232	4151	213
233	4169	196
234	4189	178
235	4206	160
236	4223	142
237	4239	124
238	4256	106
239	4271	88
240	4287	71
241	4303	53
242	4319	35
243	4336	17
244	4353	0
